player_key,player_name,country,season_avg,season_rank,matches_in_window,avg_last10,stdev_last10,best_last10,worst_last10,avg_last5,avg_prev5,trend,wins_last10,win_rate_last10,last_match_date,mean_opp_avg,mean_perf_vs_opp,sos_n,checkout_pct,total_180s,first9_avg,profile_url
5403,Luke Littler,ENG,101.32,1,10,100.32,3.68,105.86,94.69,99.62,101.02,-1.4,9,0.9,2026-05-07,100.24,0.07,10,43.77,770.0,111.3,https://dartsorakel.com/player/details/5403/luke-littler
34,Luke Humphries,ENG,99.13,2,10,100.71,3.09,106.68,95.32,101.56,99.85,1.71,6,0.6,2026-05-07,94.64,6.07,10,40.57,568.0,108.74,https://dartsorakel.com/player/details/34/luke-humphries
2,Gerwyn Price,WAL,98.42,3,10,97.38,3.99,105.96,91.44,95.36,99.4,-4.04,6,0.6,2026-05-07,96.24,1.14,10,42.74,564.0,107.4,https://dartsorakel.com/player/details/2/gerwyn-price
10,Gary Anderson,SCO,98.17,4,10,102.16,5.82,110.55,92.13,100.51,103.81,-3.31,6,0.6,2026-05-05,95.93,6.23,10,41.84,317.0,106.57,https://dartsorakel.com/player/details/10/gary-anderson
3,Michael van Gerwen,NED,97.24,5,10,101.24,8.59,122.34,89.68,106.05,96.43,9.63,8,0.8,2026-05-12,95.44,5.8,10,37.55,393.0,107.15,https://dartsorakel.com/player/details/3/michael-van-gerwen
2641,Gian van Veen,NED,97.2,6,10,93.0,5.94,104.32,86.36,91.54,94.47,-2.93,4,0.4,2026-05-12,93.45,-0.45,10,44.63,565.0,105.16,https://dartsorakel.com/player/details/2641/gian-van-veen
39,Chris Dobey,ENG,97.19,7,10,101.32,6.16,110.44,89.5,102.61,100.04,2.58,6,0.6,2026-05-12,96.44,4.88,10,38.22,601.0,107.57,https://dartsorakel.com/player/details/39/chris-dobey
36,Stephen Bunting,ENG,96.97,8,10,98.15,5.85,106.85,89.78,97.47,98.82,-1.35,6,0.6,2026-05-12,94.3,3.85,10,39.19,592.0,106.43,https://dartsorakel.com/player/details/36/stephen-bunting
20114,Josh Rock,NIR,96.83,9,10,96.83,4.7,104.49,89.88,97.17,96.49,0.68,9,0.9,2026-05-12,93.26,3.56,10,39.08,546.0,106.11,https://dartsorakel.com/player/details/20114/josh-rock
130,Wessel Nijman,NED,96.82,10,10,96.9,5.6,104.62,88.41,93.0,100.8,-7.8,8,0.8,2026-05-12,91.97,4.93,10,43.41,639.0,105.78,https://dartsorakel.com/player/details/130/wessel-nijman
26,Ross Smith,ENG,96.24,11,10,93.34,6.05,102.9,83.13,94.68,92.01,2.67,5,0.5,2026-05-12,93.24,0.11,10,40.53,494.0,105.77,https://dartsorakel.com/player/details/26/ross-smith
20,Jonny Clayton,WAL,96.23,12,10,97.36,2.57,102.37,93.85,97.81,96.91,0.9,5,0.5,2026-05-12,97.98,-0.62,10,42.24,532.0,105.26,https://dartsorakel.com/player/details/20/jonny-clayton
14,Dirk van Duijvenbode,NED,96.18,13,10,99.05,2.86,103.58,92.86,100.93,97.17,3.76,7,0.7,2026-05-12,96.7,2.36,10,38.72,441.0,105.83,https://dartsorakel.com/player/details/14/dirk-van-duijvenbode
8,Nathan Aspinall,ENG,95.92,14,10,96.47,7.17,106.4,81.58,99.04,93.9,5.14,8,0.8,2026-04-19,89.55,6.92,10,37.85,447.0,106.3,https://dartsorakel.com/player/details/8/nathan-aspinall
7,James Wade,ENG,94.92,15,10,97.82,4.7,103.2,85.85,100.18,95.46,4.72,5,0.5,2026-05-12,95.33,2.5,10,42.96,310.0,102.26,https://dartsorakel.com/player/details/7/james-wade
22,Danny Noppert,NED,94.77,16,10,92.79,5.71,102.37,84.28,95.57,90.01,5.55,7,0.7,2026-05-10,89.67,3.12,10,39.82,500.0,102.88,https://dartsorakel.com/player/details/22/danny-noppert
31,Ryan Searle,ENG,94.76,17,10,93.0,5.44,101.97,83.92,94.12,91.88,2.23,4,0.4,2026-05-12,93.45,-0.45,10,41.55,277.0,103.02,https://dartsorakel.com/player/details/31/ryan-searle
29,Rob Cross,ENG,94.72,18,10,95.68,4.6,105.95,89.32,94.2,97.16,-2.96,6,0.6,2026-05-12,94.74,0.94,10,40.89,262.0,102.84,https://dartsorakel.com/player/details/29/rob-cross
13,Damon Heta,AUS,94.69,19,10,95.3,7.79,110.78,82.11,95.19,95.42,-0.23,4,0.4,2026-05-12,93.37,1.93,10,44.02,279.0,101.9,https://dartsorakel.com/player/details/13/damon-heta
